text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
"Finding the perfect candidate just got easier &amp; more cost-effective w/our Pay Per Resume. You have complete control over your budget AND hiring process. Join us TODAY, 10/25, at 1 CT, to learn more about it &amp; ask questions with our trainings experts 👉 https://t.co/KIa4Hh9UzY https://t.co/3fOiyNYrFt",['1717160099553173753'],2023-10-25T12:44:05.000Z,1717160099553173753,0,0,3,0,0,1143
"Finding the perfect candidate just got easier &amp; more cost-effective w/our Pay Per Resume. You have complete control over your budget AND hiring process. Join us tomorrow, 10/25, at 1 CT, to learn more about it &amp; ask questions with our trainings experts 👉 https://t.co/KIa4Hhaspw https://t.co/ajEl7GYbOl",['1716949209927336178'],2023-10-24T22:46:05.000Z,1716949209927336178,0,0,2,0,0,1232
RT @CBforEmployers: Hiring doesn’t have to be scary! 👻 Grab our special offer to help you kick hiring into high gear. Use the special promo…,['1716919798918246607'],2023-10-24T20:49:13.000Z,1716919798918246607,1,0,0,0,0,0
"RT @CBforEmployers: 🎃 Hiring can be full of treats, not tricks...and we have one for you today! Grab our special offer to help you kick you…",['1716919777585930550'],2023-10-24T20:49:08.000Z,1716919777585930550,1,0,0,0,0,0
RT @CBforEmployers: Finding the perfect candidate just got easier &amp; more cost-effective w/our Pay Per Resume. You have complete control ove…,['1716919764172603799'],2023-10-24T20:49:05.000Z,1716919764172603799,1,0,0,0,0,0
"Finding the perfect candidate just got easier and more cost-effective with our Pay Per Resume. You have complete control over your budget AND hiring process. Join us Oct 25, 1:00 PM CT, to learn more about it &amp; ask questions with our trainings experts 👉 https://t.co/KIa4Hh9UzY https://t.co/H6ijjkbeja",['1716032167178891530'],2023-10-22T10:02:05.000Z,1716032167178891530,0,0,4,0,0,1571
"Are you trying to recruit and build your dream team but don't want to break the bank or lock into a long contract? Insert CareerBuilder Pay Per Resume, your new go-to lifeline to finding the perfect team member 👉 https://t.co/3u3cbL0UZa
Thanks to our friend @thecorporatemama! https://t.co/nFeuC3P0Br",['1715485883338535336'],2023-10-20T21:51:21.000Z,1715485883338535336,0,0,3,0,0,1462
Understanding where and how to highlight professional strength in a resume is crucial to crafting a compelling resume that will inspire potential employers to reach out and make that coveted call. Learn more to help you land your next new job 👉 https://t.co/ITDToBZbJz https://t.co/JsifiWsPxc,['1714734159866839137'],2023-10-18T20:04:16.000Z,1714734159866839137,0,1,4,0,0,1350
"It's always important to believe in yourself and not let others bring you down. With that in mind, let's get motivated for a great week ahead! 💪 Let's start this week off on a positive note and show the world what we're made of! 💥 #MondayMotivation #BelieveInYourself #YouCanWin https://t.co/781vBWoe7g",['1713922769136521618'],2023-10-16T14:20:05.000Z,1713922769136521618,0,1,5,0,0,1465
We continue to hope for peace and safety for all. https://t.co/Bmlx9ez5QL,['1712565323654738253'],2023-10-12T20:26:05.000Z,1712565323654738253,1,1,5,0,0,1594
"Dealing with passive aggressive coworkers can be a challenging task, but it's not impossible. Check out some of our top tips that can help you handle this situation in a professional manner. With patience and professionalism, it can be overcome.
https://t.co/31y1HoE7Ns",['1711869971016405448'],2023-10-10T22:23:00.000Z,1711869971016405448,0,0,2,1,0,1457
