created_at,lang,text,edit_history_tweet_ids,conversation_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-01T18:08:13.000Z,en,How to heal skin issues… https://t.co/EvjY1Edpqp,['2039404482375610442'],2039404482375610442,2039404482375610442,27,12,436,1,200,47011,,paulsaladinomd
2026-03-31T20:00:50.000Z,en,"I believe this sort of a transformation is much more sustainable long term than Reta, Ozempic, Tirza etc.. 

These peptides work for weight loss, but you won't correct the underlying cause (garbage food, lack of discipline) and you'll gain the weight back when you stop. https://t.co/knw5Ojdojv",['2039070437204729866'],2039070437204729866,2039070437204729866,8,61,299,7,34,116073,,paulsaladinomd
2026-03-31T19:41:03.000Z,en,"I had nothing to do with this, I swear. https://t.co/3B6sfzvFNw",['2039065458339364938'],2039065458339364938,2039065458339364938,1,19,193,1,2,23478,,paulsaladinomd
2026-03-31T15:50:54.000Z,en,Pasture-raised eggs vs conventional eggs… https://t.co/bX9rOTN3ji,['2039007537333260657'],2039007537333260657,2039007537333260657,161,25,1244,6,228,54806,,paulsaladinomd
2026-03-31T12:26:20.000Z,en,"A big bowl o' bullshit will serve you far better in the long term, my friend. 

This is the way. 

Turns out eating real food tickles GLP-1 receptors, also. Imagine that. https://t.co/5tOPaZx0AK",['2038956057104437485'],2038956057104437485,2038956057104437485,3,14,149,2,6,25749,,paulsaladinomd
2026-03-31T12:23:16.000Z,en,"Eating far less garbage processed food. 

You only need a 12-step skincare routine if you eat junk and not enough animal foods (collagen, high quality protein etc.). https://t.co/M22B85XXoY",['2038955286497468739'],2038955286497468739,2038955286497468739,6,5,167,0,10,28668,,paulsaladinomd
2026-03-31T12:16:24.000Z,en,"My mother texted me the other day asking about her lipids.

""What's your fasting insulin?"" I asked.

Her doctor has never ordered this, not once.

She's going back to the lab to ""complete"" her bloodwork today.

If your doctor doesn't order this lab, you need a new doctor.",['2038953557320253689'],2038953557320253689,2038953557320253689,37,75,681,11,89,74146,,paulsaladinomd
2026-03-31T12:14:02.000Z,en,"My mother texted me the other day asking about her lipids. 'What's your fasting insulin and homocysteine?' I asked. Her doctor has never ordered these, not once. She's going back to the lab to ""complete"" her bloodwork today.",['2038952961385148554'],2038952350480552203,2038952961385148554,1,4,33,3,14,11426,1081022379910881280,paulsaladinomd
2026-03-31T12:11:36.000Z,en,"Fasting insulin would almost certainly have been &gt;8uIU/ml and pointed to something being ""off."" 

Metabolic health is Western medicine's biggest blind spot. This is killing people. 

If your doctor is not checking fasting insulin you need a new doctor. https://t.co/pGnH61UzLz",['2038952350480552203'],2038952350480552203,2038952350480552203,14,18,155,2,51,37371,,paulsaladinomd
2026-03-31T12:04:22.000Z,en,"Yes, sugar is bad. Shocker. 

Multiple studies show that ""naked"" sugar can lead to dybiosis in the gut and raise LPS (endotoxin), leading to inflammation and IR (PMIDs: 32397233,34201938).

Fruits, honey do not have the same effect (PMIDs: 38906893,35967810).

Nature is cool. https://t.co/Ak38ZkbimI",['2038950530509140172'],2038950530509140172,2038950530509140172,21,69,398,18,121,139580,,paulsaladinomd
2026-03-30T21:18:41.000Z,en,"Creatine HCL is more soluble in water than monohydrate but the same after that. Zero evidence it works better than monohydate.

You can save yourself money by fully dissolving creatine monohydrate so you don't get bloat.

Monohydrate and HCL look exactly the same to your muscle. https://t.co/EAH9Q8Auon",['2038727638928228465'],2038727638928228465,2038727638928228465,7,5,66,0,13,20772,,paulsaladinomd
2026-03-30T15:10:45.000Z,en,Creatine hack to increase absorption… https://t.co/WqwvxGRQJj,['2038635044361617908'],2038635044361617908,2038635044361617908,63,57,1156,4,608,152583,,paulsaladinomd
2026-03-29T21:53:13.000Z,en,Are seed oils actually harmful? https://t.co/WMsjnPf3Tp,['2038373943447359497'],2038373943447359497,2038373943447359497,47,20,356,1,115,23233,,paulsaladinomd
2026-03-29T20:23:02.000Z,en,How to support fertility… https://t.co/Rv71JwZjvo,['2038351247674069452'],2038351247674069452,2038351247674069452,6,5,148,0,43,15370,,paulsaladinomd
2026-03-29T17:26:38.000Z,en,The best steak in the world? https://t.co/ms2yqOIpRb,['2038306852774047923'],2038306852774047923,2038306852774047923,229,33,3108,2,1009,286551,,paulsaladinomd
2026-03-29T16:18:52.000Z,en,"We should all be insulin sensitive and metabolically healthy, that's the win. You can have all the statins and PCSK9s you want, I'll pass. https://t.co/RnCs4mVqlH",['2038289798687871000'],2038289798687871000,2038289798687871000,6,6,129,1,6,19187,,paulsaladinomd
2026-03-29T16:06:32.000Z,en,"My Sunday in Costa Rica so far:

5:20am: wake up → 16oz reverse osmosis water + 5g creatine + raw honey

5:25am: light movement outside in the sun + pets for Zak (my Belgian Malinois)

5:35am: raw milk + honey + salt + methylated B vitamins + left my gf a love note ❤️

5:40am:","['2038286254014427189', '2038286693925597523']",2038286693925597523,2038286693925597523,21,129,843,4,248,103476,,paulsaladinomd
2026-03-29T15:46:34.000Z,en,"“Your diet is too expensive!”

Meanwhile the average American wastes $612 every month on:

• Fast food &amp; restaurants: $280 
• Coffee, energy drinks &amp; soda: $50 
• Snacks/junk food/candy: $40 
• Amazon impulse buys: $100 
• Unused subscriptions: $100 
• Lottery/gambling: $30 https://t.co/XKHEMpLkXi",['2038281670621552857'],2038281670621552857,2038281670621552857,23,28,286,4,15,46618,,paulsaladinomd
2026-03-29T15:31:30.000Z,en,"Did we really need to add hundreds of thousands of micro/nanoplastics with the bottled water? 

Nonne doesn't approve of microplastics, she loves clean spring water though!

And why boil in water to remove fat?  It contains valuable fat-soluble vitamins and stearic acid (healthy https://t.co/uM4s1RuHu1",['2038277878748414119'],2038277878748414119,2038277878748414119,5,18,107,1,20,47527,,paulsaladinomd
2026-03-28T22:33:47.000Z,en,Girl Scout Cookies contain what!? https://t.co/QAvbuUO8In,['2038021762919682545'],2038021762919682545,2038021762919682545,96,12,525,4,166,38219,,paulsaladinomd
2026-03-27T20:29:26.000Z,en,"Vegetables def contain defense chemicals to which attention should be paid. Peeling and boiling potatoes can mitigate some of the oxalates and alkaloids, but not all. There's bioindividuality at play here also. Figure out what works for you!

The goal has always been to eat the https://t.co/FCaFJ7uhfr",['2037628081129628055'],2037628081129628055,2037628081129628055,3,7,37,0,7,13718,,paulsaladinomd
2026-03-27T15:31:07.000Z,en,The best foods for longevity… https://t.co/z37sve0eGf,['2037553009102614717'],2037553009102614717,2037553009102614717,30,34,539,2,134,43974,,paulsaladinomd
2026-03-26T23:39:03.000Z,en,The best way to eat steaks… https://t.co/a3YsBWMC1R,['2037313411705438569'],2037313411705438569,2037313411705438569,28,27,473,2,106,42970,,paulsaladinomd
