created_at,text,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-08T21:42:26.000Z,"Urgent Hiring!!

Finance Transaction Officer at Insurance Company – Fosad Consulting

Location:  Ibadan, Oyo
Employment Type: Full-time

Salary: N122,490.36 monthly
Bonus: N20,000 monthly

Duties
- In the role of Finance Transactions Officer, you will be responsible for… https://t.co/10lxfjPEpU",['1777451963753332829'],1777451963753332829,6,0,17,0,3,3584
2024-04-08T21:30:18.000Z,"Urgent Hiring!!

Payroll Specialist at Fosad Consulting

Location: Lekki, Lagos
Employment Type: Full-time

Requirements
- https://t.co/oRz2SEqaLq / HND with a minimum of 3 years of proven work experience in a Payroll/HR capacity.
- HR Consulting Experience

If you can’t apply,… https://t.co/oAXXK7VxoG",['1777448912950825122'],1777448912950825122,7,0,6,0,1,2015
2024-04-08T21:12:57.000Z,"Urgent Hiring!!

HR Officer at Lagosbiz

Location: Nigeria
Employment Type: Full-time

Salary: N250,000 – N300,000 / month.

Requirements
- https://t.co/oRz2SEqaLq / BA in Business Administration, Social Studies or relevant field; further training will be a plus
- HR Credentials… https://t.co/Rbrgev0q1z",['1777444542926508326'],1777444542926508326,10,1,23,0,2,5366
2024-04-08T20:16:48.000Z,"Urgent Hiring!!

Assistant Engineer, Instrumentation At Dangote

Location: Ibese, Ogun State, Nigeria

Benefits
- Private Health Insurance
- Paid Time Off
- Training and Development

Requirements
- A Bachelor’s degree or its equivalent in Electrical Engineering or a related… https://t.co/ntM2zt6Ual",['1777430414514131013'],1777430414514131013,8,0,8,0,0,3024
2024-04-08T20:12:39.000Z,"Urgent Hiring!!

Technician/Supervisor-Instrumentation (Cement Industry) At Dangote

Location: Ogun State, Nigeria

Benefits
- Private Health Insurance
- Paid Time Off
- Training &amp; Development

Requirements
- School Cert (Preferable WASC/SSCE) + 10 Years’ Working Experience
-… https://t.co/WZTR0Ceh4q",['1777429372049190991'],1777429372049190991,5,0,9,0,0,2553
2024-04-08T19:43:39.000Z,"RT @AbrahamOkah2: These are fine Remote Job openings you should try!

Check the tweet and see if your position is hiring....",['1777422071670177868'],1777422071670177868,3,0,0,0,0,0
2024-04-08T19:43:37.000Z,"RT @Tsinformation1: Apply to any of this positions guys…
Urgently hiring….",['1777422062560112893'],1777422062560112893,1,0,0,0,0,0
2024-04-08T19:42:17.000Z,"If you have any of the following skills:

- Cybersecurity
- Data Analytics
- E-commerce
- Project Management 
- UI/UX Design

You can now practice real INTERVIEW questions using Google's new platform here: https://t.co/BNdJTh62KT

Share this! Someone on your TL might need",['1777421728152461722'],1777421728152461722,46,1,90,0,142,11630
2024-04-08T19:02:53.000Z,"RT @Jediah79056137: Job opening ‼️ 

A company called Filestage is hiring a Remote Product Manager to work from Europe.

✳️Salary: $50,000…",['1777411812071219642'],1777411812071219642,10,0,0,0,0,0
2024-04-08T18:05:18.000Z,"@cometcashHQ is Hiring for Multiple positions!

Available Positions
• Sales Manager
• Regional Rep
• Business Development Manager
• Operations Manager

If you can’t apply, Please share, someone may need it on your timelines

Apply ⤵️
https://t.co/JokAQLoqxc https://t.co/XR0LyAxOj5",['1777397322118254992'],1777397322118254992,5,0,14,2,10,12682
2024-04-08T17:02:03.000Z,"Urgent Hiring!!

Remote Data Operations Manager Needed!!

📍100% remote (Worldwide 🌎)

Pay: $80,000 – $140,000 Annually

Requirements
- Bachelor’s degree in Computer Science, Information Systems, or related field
- 3+ years of experience in data management or related field

If… https://t.co/HA2888hxrO",['1777381403816051002'],1777381403816051002,16,0,31,0,15,7239
2024-04-08T16:12:29.000Z,"Urgent Hiring!!

Remote Senior Account Executive Needed!!

📍100% remote (Worldwide 🌎)

Pay: $44,150 USD to $149,075 USD

Requirements
- 4+ years of previous experience as an Account Executive or related SaaS sales experience preferred
- Excellent customer service skills

If you… https://t.co/l2o9HJTcXx",['1777368928131432818'],1777368928131432818,8,0,17,0,3,4773
2024-04-08T16:12:12.000Z,"RT @Tsinformation1: Totally Free

Apply now to study at the University of Alberta in Canada 🇨🇦 with a Fully Funded Scholarship.

This schol…",['1777368857331589442'],1777368857331589442,67,0,0,0,0,0
2024-04-08T15:30:51.000Z,"Urgent Hiring!!

Remote Product Manager Needed!!

📍100% remote (Worldwide 🌎)

Pay: $43,000 to $92,000 Annually

Requirements
- Solid track record of experience as a product manager, with experience managing both file-based and API-driven product integrations within a… https://t.co/Usd79zU632",['1777358450936218062'],1777358450936218062,11,0,23,0,9,5117
2024-04-08T14:44:11.000Z,"Urgent Hiring!!

Remote Account Executive Needed!

📍100% remote (Worldwide 🌎)

Pay: 37,475 USD to $126,550 USD

Requirements
- 2+ years of previous experience as an Account Executive, or related SaaS sales experience preferred
- Excellent verbal and written communication skills… https://t.co/ZULsf1Y461",['1777346710169108930'],1777346710169108930,8,0,21,0,9,4566
2024-04-08T13:44:06.000Z,"RT @JobsIntelRegion: 📢📢 Content Writer At Awesome Motive

Location: Remote (Worldwide 🌎)

Requirements

° Writing and Editing: You can rese…",['1777331588977586424'],1777331588977586424,3,0,0,0,0,0
2024-04-08T13:44:04.000Z,"RT @JobsIntelRegion: 📢📢 Graphics Designer at Liberty Assured Limited

Location: Yaba, Lago

Requirements

° Bachelor’s Degree in Graphic De…",['1777331580404482235'],1777331580404482235,2,0,0,0,0,0
2024-04-08T13:43:51.000Z,"RT @Rite_info: Postgraduate scholarship for Nigeria students 

If you’re a Nigerian searching for a fully funded scholarship to study in Fr…",['1777331527136747664'],1777331527136747664,17,0,0,0,0,0
2024-04-08T13:41:33.000Z,RT @Tsinformation1: University of Melbourne in Australia 🇦🇺 is currently accepting Applications from International students and domestic st…,['1777330947353911779'],1777330947353911779,55,0,0,0,0,0
2024-04-08T13:32:19.000Z,"RT @Rite_info: Remote Hiring - Account Support Representative 

Earn in $💰 from the comfort of your home by handling a wide variety of inqu…",['1777328623021687008'],1777328623021687008,10,0,0,0,0,0
2024-04-08T13:13:17.000Z,"Urgent Hiring!!

Remote Associate Director of Business Development Needed!

📍100% remote (Worldwide 🌎)

Pay: $95,000 – $145,000 a year

If you can’t apply, Please share, someone may need it on your timelines

Apply ⤵️
https://t.co/SFbXXOFO1O",['1777323833856299458'],1777323833856299458,10,1,23,0,4,4738
2024-04-08T13:12:45.000Z,"RT @Rite_info: UK🇬🇧Job opening - Care Workers

Visa sponsorship &amp; accommodation will be provided to qualified &amp; interested applicants ✅

Yo…",['1777323698480967693'],1777323698480967693,23,0,0,0,0,1
2024-04-08T12:02:15.000Z,"Urgent Hiring!!

Remote Customer Support Representative At Clinic Sense 

📍100% remote (Worldwide 🌎)

Pay: $50,000 - $60,000 CAD

Requirements
- 2+ years of experience in a Customer Support or Technical Support role for a software product (SaaS support experience is a plus, but… https://t.co/1thjiRrbCu",['1777305958743433276'],1777305958743433276,20,1,30,0,42,9398
