edit_history_tweet_ids,text,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
['1768019236067131444'],"The @colmandomingo suit game is 𝘢𝘭𝘸𝘢𝘺𝘴 on point. 🔥

Haven't had enough of awards season? Catch the 2024 Film Independent #SpiritAwards streaming on the IMDb YouTube channel through March 24. Find it here: https://t.co/8Xi6V3zj2y https://t.co/59c2ePloGT",2024-03-13T21:00:08.000Z,1768019236067131444,27,1,101,1,3,28589
['1767946297468690826'],"Discreet? Why, that's Maxine's middle name. 🏝️ Here's an EXCLUSIVE look at Kristen Wiig in #PalmRoyale, coming to @appletv March 20. https://t.co/Q5sTCuyul7 https://t.co/swIDbkMR8Q",2024-03-13T16:10:18.000Z,1767946297468690826,33,4,131,1,11,42600
['1767615359731806345'],"We’re chatting with Finn Wolfhard, Mckenna Grace, Paul Rudd, and Carrie Coon for their new film, #Ghostbusters: Frozen Empire. What questions do you have for them? Tell us below! ⬇️ https://t.co/k2PqTCfhRI",2024-03-12T18:15:17.000Z,1767615359731806345,26,46,158,9,9,39298
['1767247387616010688'],"What, like it's hard? #Oscars https://t.co/TdbHo86Jko https://t.co/8FnS2WwXMu",2024-03-11T17:53:05.000Z,1767247387616010688,19,7,154,1,5,36083
['1767037738325258415'],The 2024 #Oscars have come to a close. Catch up on all the biggest winners here! https://t.co/G5MjGs3S1X https://t.co/xQVk1tRcWr,2024-03-11T04:00:01.000Z,1767037738325258415,48,11,302,6,18,51545
['1767007669108306152'],"Billie Eilish and Finneas O'Connell win Best Original Song for ""What Was I Made For?"" from #Barbie, making Billie the youngest two-time Oscar winner in Academy history. 💛 #Oscars https://t.co/riRKcrL0ov",2024-03-11T02:00:32.000Z,1767007669108306152,80,10,411,6,10,42991
['1767000011303256250'],Zendaya arrives at  ̶f̶a̶s̶h̶i̶o̶n̶ ̶w̶e̶e̶k̶ the #Oscars. https://t.co/DlrUZj0XPR https://t.co/vGM6WgIahH,2024-03-11T01:30:06.000Z,1767000011303256250,57,5,397,6,15,50811
['1766985876028932100'],Can't believe they'd just leave the #Oscars stage empty like this. @JohnCena https://t.co/Xuftjmk5jH,2024-03-11T00:33:56.000Z,1766985876028932100,180,43,1325,36,79,140062
['1766983464459370722'],"Good evening, angels. ✨ #Oscars https://t.co/Vw7ooP4gG3 https://t.co/e7oVKWdUOa",2024-03-11T00:24:21.000Z,1766983464459370722,32,0,240,2,9,40166
['1766958500855374146'],It's giving leading lady energy. #Oscars https://t.co/9lLCdWDi2M https://t.co/hfnEZTn7tM,2024-03-10T22:45:09.000Z,1766958500855374146,51,4,312,3,13,50025
