id,lang,edit_history_tweet_ids,text,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2005640078161289263,en,['2005640078161289263'],"This week, we're rereleasing episode #183 of The Drive with James Clear, the author of the New York Times bestseller Atomic Habits.

https://t.co/W3DSYN5ViZ",2025-12-29T14:00:32.000Z,2005640078161289263,10,9,160,1,86,25791,PeterAttiaMD
2005277644762292673,en,['2005277644762292673'],"A special end-of-year newsletter on how you can apply James Clear’s laws of behavior change to a few of the actionable steps we learned about on The Drive in 2025. Full article linked below.

https://t.co/CAgM6Rm7fG",2025-12-28T14:00:21.000Z,2005277644762292673,36,10,385,2,427,74717,PeterAttiaMD
2003828337660084334,en,['2003828337660084334'],"Why building muscle now protects you later in life | Rhonda Patrick, Ph.D. (@foundmyfitness)

This clip is from episode # 369 of The Drive which was released on 10/20/25.

In the full episode, we cover:

-How protein requirements evolve with age, activity, and goals, and why https://t.co/mWNLOMbbDF",2025-12-24T14:01:19.000Z,2003828337660084334,61,18,566,6,248,47615,PeterAttiaMD
2003103403665240236,en,['2003103403665240236'],"In episode #377 of The Drive, I present a curated “best of” conversation with bestselling author and previous guest Arthur Brooks organized around happiness and related themes.

https://t.co/tJ0UvJJr0Q",2025-12-22T14:00:41.000Z,2003103403665240236,19,12,138,2,52,31964,PeterAttiaMD
2002740943133274271,en,['2002740943133274271'],"A spotlight on a few inspirational people doing amazing things in their 90s and beyond. Full article linked below.

https://t.co/SrMmCdMgZi",2025-12-21T14:00:24.000Z,2002740943133274271,21,15,285,2,135,52109,PeterAttiaMD
2000929211272323563,en,['2000929211272323563'],"Why some screenings should start sooner than guidelines | Peter Attia

This clip is from episode # 376 of The Drive which was released on 12/15/25.

In the full episode, I cover:

-Time-restricted eating: minimal effect beyond calorie control, implications for protein intake, and https://t.co/VMPJOlfCLV",2025-12-16T14:01:14.000Z,2000929211272323563,20,12,225,3,215,53777,PeterAttiaMD
2000566660005048414,en,['2000566660005048414'],"In this “Ask Me Anything” (AMA) episode, I tackle a wide-ranging set of listener questions spanning lifespan interventions, exercise, cardiovascular risk reduction, blood pressure management, and much more. 

https://t.co/Dp2TYPIJVM",2025-12-15T14:00:35.000Z,2000566660005048414,8,11,84,0,35,29304,PeterAttiaMD
2000204201830363189,en,['2000204201830363189'],"How Dr. Tom Catena has saved countless lives as the sole surgeon in the war-torn Nuba region of Sudan—and how you can help. Full article linked below.

https://t.co/kjcx4pcYlu",2025-12-14T14:00:18.000Z,2000204201830363189,6,2,68,0,7,26340,PeterAttiaMD
1998392442978992566,en,['1998392442978992566'],"Why Inflammation May Drive Alzheimer’s Disease | Dominic D’Agostino, Ph.D. (@MetabolicSummit)

This clip is from episode # 375 of The Drive which was released on 12/8/25.

In the full episode, we cover:

-Protein on ketogenic diets: Dom’s rationale for higher intake and muscle https://t.co/0heDNrqgim",2025-12-09T14:01:01.000Z,1998392442978992566,32,20,316,1,135,35258,PeterAttiaMD
1998029974456951099,en,['1998029974456951099'],"In episode #375 of The Drive, I sit down with Dominic D’Agostino, Ph.D. (@MetabolicSummit), a neuroscientist and professor at the forefront of metabolic therapies, including ketogenic diets, exogenous ketones, and hyperbaric oxygen. 

https://t.co/o3Zj6cjFQ8",2025-12-08T14:00:42.000Z,1998029974456951099,26,11,205,4,90,38382,PeterAttiaMD
