created_at,edit_history_tweet_ids,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-01T14:25:53.000Z,['1774805386974949456'],1774805386974949456,"@potyoindian Hello, we are sorry to hear about this situation. To better assist you, could you please DM us and confirm the email address associated to your account? Thank you. https://t.co/3ASWEVx1el",0,1,0,0,0,29
2024-04-01T14:14:47.000Z,['1774802594482774115'],1774802594482774115,"@laracroftonline Hello Manuela, we're sorry to hear about this situation. For security reasons we are unable to update your primary email. If you're no longer able to log into your account, we would advise to create a new account using your current email address. Thank you for your understanding.",0,1,0,0,0,45
2024-03-31T17:00:13.000Z,['1774481840616689736'],1774481840616689736,3 perfect days in Venice: https://t.co/EUQu0weySg https://t.co/3iGW4JXsIw,11,6,23,0,3,8939
2024-03-31T14:30:09.000Z,['1774444076118528462'],1774444076118528462,"Sure, you *could* go to Crete and stick to the main cities and resorts. I mean, the beaches at legendary. 

Just a bit off the beaten path, these 6 small villages and cities will get you un-crowded beaches, low-key tavernas, and lesser-known sights: https://t.co/4eSUCR2EoA https://t.co/zcnhZirtRn",14,2,39,0,1,9493
2024-03-31T03:31:36.000Z,['1774278343044567080'],1774278343044567080,"@EmilyNassberg Hi Emily! Thanks for reaching out to us and we are sorry to hear about the situation. In order for us to investigate further, kindly DM us the details and your email address? We are happy to help here!",0,0,0,0,0,26
2024-03-30T17:30:02.000Z,['1774126956730023981'],1774126956730023981,Favorite US city—go! 👇,5,18,19,1,1,18535
2024-03-29T21:00:15.000Z,['1773817470794469736'],1773817470794469736,"To my last-minute-trips-don’t-scare-me pals, just letting you know that you should probably plan a trip to Istanbul in April to see tulips. https://t.co/EqOdKajeJw https://t.co/5S8eQANqYe",11,2,41,0,1,9691
2024-03-29T19:00:15.000Z,['1773787273210827062'],1773787273210827062,3 days in Phuket: https://t.co/tcaOU1YFKd https://t.co/mnY5OLhhaN,5,1,19,0,2,7700
2024-03-29T17:19:06.000Z,['1773761816876781860'],1773761816876781860,"What do you need to *actually* pack for your summer camping trip? We took a look with some outdoorsy pros: https://t.co/HpZTF8QKYG

What’s a must-pack that always goes in your bag?



Sponsored by @VisitUtah https://t.co/880sVFAl92",3,1,8,0,2,6936
2024-03-29T16:00:35.000Z,['1773742058584350828'],1773742058584350828,You haven't really been to Marrakech until you've gotten lost in the city's souks. https://t.co/TiLktuaS4x https://t.co/tGRhYRAKJR,5,3,23,0,1,6852
2024-03-28T21:00:11.000Z,['1773455065451217013'],1773455065451217013,Bucket list item: Road trip through Ireland. https://t.co/6WfMNT2L2a https://t.co/5dmYXNO5wZ,10,7,27,0,2,8230
2024-03-28T19:00:13.000Z,['1773424874096120235'],1773424874096120235,The perfect weekend in Athens: https://t.co/z9XzOrgqpi https://t.co/xsP4mZwsrm,2,7,14,1,2,6886
2024-03-28T03:28:36.000Z,['1773190425135698102'],1773190425135698102,"@bridge_53 Hi Paul, thanks for reaching out to us an we appreciate the time you have taken to share this information with us. Please rest assured that our engineering team is currently working on this system issue. Thanks for reporting this and we apologize for the inconvenience caused.",0,0,0,0,0,22
