text,id,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
"Chocolate, peanut butter AND strawberry in one cupcake?! 🍓🧁 Count us in, @mollyyeh! 😍

For more comfort recipes, tune in to an all-new #GirlMeetsFarm TOMORROW @ 11a|10c! 

Get the recipe: https://t.co/hexCxEtrW6 https://t.co/cThThXIY0S",1776569289346298140,2024-04-06T11:15:00.000Z,['1776569289346298140'],21,6,131,0,24,24283
"Not all pans are created equal!

https://t.co/eyFdgDZB4a",1776554189692207259,2024-04-06T10:15:00.000Z,['1776554189692207259'],1,1,13,0,1,20086
"We did the tests, now pour yourself a glass!
https://t.co/PFOo2Edn9U",1776388095576834141,2024-04-05T23:15:00.000Z,['1776388095576834141'],0,0,9,0,4,19473
"You know what this lemon spaghetti needs? A big ball of burrata on top 🤤

Catch @chefantonia on the #TournamentOfChampions finale, Sunday @ 8|7c!

Get the recipe: https://t.co/q5DT8Kf5io. https://t.co/zqll8o5rQ7",1776372995969421610,2024-04-05T22:15:00.000Z,['1776372995969421610'],10,6,123,1,13,21349
"Ummmm that's not gonna happen! 😅

9 days to go until the premiere of #24In24: Last Chef Standing, starting April 14 @ 8|7c! 🕓 https://t.co/pWU7Y3jDbI",1776357896160432629,2024-04-05T21:15:00.000Z,['1776357896160432629'],3,1,43,0,0,16498
"Who knew making butter was SO easy?! With this hand-cranked miniature churner, you can make fresh batches of butter and buttermilk right at home! 🧈

Get it on Amazon: https://t.co/1hXzIbf7lD (We may make 💰 from these links.) https://t.co/SlUIN2tOue",1776342796598907276,2024-04-05T20:15:00.000Z,['1776342796598907276'],32,9,189,2,79,41851
"We can practically SMELL those freshly baked cinnamon rolls through the screen 😌🌀 Find these magical rolls at The Hive in Hoboken, NJ! #FoodNetworkFinds https://t.co/LngrTHYO1W",1776327697498882495,2024-04-05T19:15:00.000Z,['1776327697498882495'],33,14,284,1,24,42710
"Suddenly I'm a runner and a trackstar 🫡

Catch @nancyfullerco on #SpringBakingChampionship, Mondays @ 8|7c! 🌼🧁 https://t.co/KgMOs6mGmt",1776312598025347516,2024-04-05T18:15:00.000Z,['1776312598025347516'],7,4,49,1,3,16183
"You can make a version of tamagoyaki with a nonstick skillet! 😲 @JetTila made one in honor of his #TournamentOfChampions battle against @MeiLin21!

Don't miss the *finale* of TOC 5 this Sunday at 8|7c. https://t.co/eeymEjp9cy",1776305047938142509,2024-04-05T17:45:00.000Z,['1776305047938142509'],24,5,157,0,18,26478
"Recipe of the Day: Richmond Flores' Shiitake Mushroom Adobo 🍽️

Adobo is a Filipino household staple usually made with chicken or pork. This vegetarian version swaps in dried shiitake mushrooms, which give it a meaty texture and deep satisfying flavor.
https://t.co/bu7fk5BOFJ",1776282398646297036,2024-04-05T16:15:00.000Z,['1776282398646297036'],3,4,18,0,1,13593
"Prepare yourselves for this one 😭 @chefantonia + @jettila are longtime friends and fierce competitors. On Sunday, they'll face off in the TOC V semifinals and in the end – no matter what – one of them will be heartbroken.

#TournamentOfChampions &gt; Sunday @ 8|7c https://t.co/ttY5KETY9E",1776271076940488714,2024-04-05T15:30:00.000Z,['1776271076940488714'],20,13,154,0,1,18535
Happy ACME Fools! A cool frosting hack makes this Tweety Bird Cake is easier to make than you think — and it’s perfect for celebrating the @LooneyTunes all month long 💛https://t.co/gK2PtNSK9p,1776267299340837245,2024-04-05T15:15:00.000Z,['1776267299340837245'],1,1,15,0,0,12953
"Before the bite club can embark on a tasting journey throughout New Haven, @noahcappe needs to set some ground rules 🤝😅

Series premiere of #BestBiteInTown &gt; Friday, April 12 @ 9|8c https://t.co/nSHojIpNFc",1776252200035160163,2024-04-05T14:15:00.000Z,['1776252200035160163'],11,4,70,3,6,25457
"Top 5 Craziest Upsets of TOC V 😱

@guyfieri is hosting the finale of #TournamentOfChampions, Sunday @ 8|7c! https://t.co/QWk9igqzct",1776222000983240881,2024-04-05T12:15:00.000Z,['1776222000983240881'],5,5,67,2,2,21346
".@aartipaarti, @weelicious + @chefdphillips are truly Three of a Kind! ♠️♥️♣️ These #GroceryGames judges are ready for a night of culinary poker and even more ready to take on the Wild cards thrown their way 🃏💸

All-new #WildcardKitchen &gt; Tuesday @ 9|8c https://t.co/7WFORujC2T",1776206901794992492,2024-04-05T11:15:00.000Z,['1776206901794992492'],1,7,75,0,0,19278
Which new wrap option are you trying first?! 😋🌯https://t.co/Q8lJh3fgOY,1776191801709478306,2024-04-05T10:15:00.000Z,['1776191801709478306'],1,3,13,1,0,17976
"NEXT @ 9|8c! Former #BeatBobbyFlay judges @ChefArielFox and Jae Lee are challenging @bflay with their culinary expertise! 🥊 Will @ChefBrookeW and @mrmattwalsh pull out a win, or will Bobby reign supreme once again? https://t.co/Sgk16NqOWA",1776048356608868550,2024-04-05T00:45:00.000Z,['1776048356608868550'],6,5,72,0,0,24649
