id,text,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1775584157382438973,"Alex COMPLETELY HEALED his ulcerative colitis, when his doctor told him there was nothing he could do

He came to me because he wanted to heal but didn’t want to give up all of his favorite foods by going full carnivore

“Chris has fundamentally altered my relationship with food” https://t.co/9R2HPADTQA",2024-04-03T18:00:26.000Z,['1775584157382438973'],0,1,2,0,2,598
1775584154991628708,"Will tried many restrictive diets &amp; had some success, but wasn’t able to make it last

We put a system in place that allowed him to

Lose weight consistently
ENJOY his meals
Not spend hours cooking

He’s down 55 lb (still going) w/ more energy, loves his food &amp; can do it for LIFE https://t.co/tSsqaIejBf",2024-04-03T18:00:25.000Z,['1775584154991628708'],0,1,1,0,0,751
1775584153573994497,"🚨RESULTS THREAD🚨

If you struggle with:

-Weight loss
-Gut issues
-Skin issues
-Healthy weight gain
-Brain fog
-Low energy

Read the thread below to see how I’ve helped others in the exact same situation as you👇🏼https://t.co/OGhizDeuON https://t.co/VfoBEXAdkZ",2024-04-03T18:00:25.000Z,['1775584153573994497'],4,5,39,0,67,74778
1775542723157664027,"If you like videos like this, follow me on IG @coookwithchris !",2024-04-03T15:15:47.000Z,['1775542723157664027'],0,0,3,0,1,4328
1775538283776270444,My 10 favorite brands at Sprouts! https://t.co/jm7sQeyZsd,2024-04-03T14:58:09.000Z,['1775538283776270444'],47,19,632,1,688,83228
1775533818172060124,"COLLAGEN VS GELATIN

&amp; why balancing amino acids is necessary for optimal health

As western society has moved to eating predominantly muscle meat, and less of the whole animal, our nutrition has suffered

Of the main things lacking are collagen &amp; gelatin, which plays a role in:… https://t.co/eHNHhy2vHH https://t.co/91Q71nuh5x",2024-04-03T14:40:24.000Z,['1775533818172060124'],35,3,183,1,133,18147
1775279681383879036,Spicy stir fry with ground elk &amp; organic rice noodles🤤 https://t.co/zoez8yw5FO,2024-04-02T21:50:33.000Z,['1775279681383879036'],4,4,167,0,46,29952
1775233955865747700,"42 Statements you need to hear if you want to be healthy AF:

1. Steak is great, but you need to be eating more seafood &amp; wild game
2. The stress people cause themselves over eating something “bad” is more unhealthy than the food itself
3. The closer to the food source you are,… https://t.co/dkvFy9lvnN",2024-04-02T18:48:51.000Z,['1775233955865747700'],49,13,336,3,553,65518
1775150321666326588,"If you don’t have fundamentals down, you don’t need to worry about things like:

-Oxalates
-Organic
-Grass fed
-A drop of seed oil
-A million supplements

Focus on eating mostly home cooked meals, using unprocessed foods

Master this, THEN you can start to look at small details",2024-04-02T13:16:32.000Z,['1775150321666326588'],9,11,125,0,29,21951
1775148021073772845,"How to be in the top 1% mentally &amp; physically:

-Eat real food
-Drink quality water
-Move your body
-Get sunlight
-Breathe through your nose
-Turn off the news
-Minimize screen time
-Get 8 hours of deep sleep

Simple https://t.co/WkJCO7pIHi",2024-04-02T13:07:23.000Z,['1775148021073772845'],12,8,142,3,53,20703
1775146541067493519,"WILD CAUGHT VS FARMED FISH

-Nutritional differences
-Is wild caught worth the price tag?
-Contaminants

Let’s get into it👇

To state the obvious, wild caught fish are caught in their natural habitat. Farmed fish are raised in either tanks, or enclosures within oceans, lakes or… https://t.co/j1rELDX8oI https://t.co/v6L81eqrnA",2024-04-02T13:01:30.000Z,['1775146541067493519'],21,10,142,3,118,32895
1774825422984810944,@Helios_Movement 😂😂im 2 shots of canola deep,2024-04-01T15:45:30.000Z,['1774825422984810944'],0,0,2,0,0,497
1774813164246290803,"The point of becoming healthy is to enjoy your life

Not to become a neurotic health freak and worry about every calorie and food you eat

It will require discipline to get there, but the end goal is peace of mind

Knowing that your body is resilient enough take on anything",2024-04-01T14:56:47.000Z,['1774813164246290803'],19,9,201,0,34,25085
1774791899473133673,@VitaEstBellum Cool!,2024-04-01T13:32:17.000Z,['1774791899473133673'],0,0,0,0,0,490
1774789623396323730,"20 FOODS YOU NEED TO BE EATING MORE OF &amp; WHY

Include these foods in your diet and it will be hard not to be healthy:

1. Microgreens

Microgreens are an amazing addition to any meal or smoothie. They are:

-Significantly more nutrient dense than mature greens
-Easier to digest… https://t.co/tX0ksMKrzj https://t.co/cJxJdecZDq",2024-04-01T13:23:14.000Z,['1774789623396323730'],83,12,509,1,726,73395
1774785065299431601,RT @DrDomMazza: @coookwithchris Can’t recommend Chris’s program enough! Great guy to work with.,2024-04-01T13:05:08.000Z,['1774785065299431601'],1,0,0,0,0,0
1774519815941533898,@cb3peat Try goat whey,2024-03-31T19:31:07.000Z,['1774519815941533898'],0,2,5,0,0,4622
1774506352208966050,Sourdough french toast casserole🤤 https://t.co/FPZPDNFEEz,2024-03-31T18:37:37.000Z,['1774506352208966050'],22,15,552,1,165,72096
1774469387879174526,@dingies Nope any milk works,2024-03-31T16:10:44.000Z,['1774469387879174526'],0,1,3,0,0,4644
1774465597713109195,@BlueLightDiet 😂😂😂,2024-03-31T15:55:41.000Z,['1774465597713109195'],0,0,2,0,0,301
1774450749923094824,@pebkac it is!,2024-03-31T14:56:41.000Z,['1774450749923094824'],0,0,0,0,0,4887
1774450721317908888,@JPaquetteNY enjoy my friend!,2024-03-31T14:56:34.000Z,['1774450721317908888'],0,0,1,0,0,5891
1774449363596546268,"And yes, the whey protein is optional!",2024-03-31T14:51:10.000Z,['1774449363596546268'],0,1,9,0,3,12143
1774448534537810361,"Soak some ground coffee in raw milk overnight

Strain it, then add whey protein and maple syrup or raw honey

Congrats, you’ve made the most anabolic coffee drink of all time🥂 https://t.co/oif0pqDWW6",2024-03-31T14:47:52.000Z,['1774448534537810361'],126,35,1583,4,1862,292718
1774423089054372160,GM and Happy Easter❤️ https://t.co/ibJRCMoqP6,2024-03-31T13:06:46.000Z,['1774423089054372160'],2,4,67,0,1,14990
1774148128901333282,@luxybvll 🤣🤣exactly,2024-03-30T18:54:10.000Z,['1774148128901333282'],0,0,2,0,0,258
